id,original_title,cast,crew,genres,keywords,overview,vote_count,vote_average,popularity,director
1452,Superman Returns,[],"['Roger Mussenden', 'Jon Peters', 'Diane Macke']",[],[],"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",1400,5.4,57.925623,Bryan Singer
10764,Quantum of Solace,[],"['Paul Haggis', 'Dennis Gassner', 'Ian Fleming']",[],[],"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2965,6.1,107.928811,Marc Forster
58,Pirates of the Caribbean: Dead Man's Chest,[],"['Dariusz Wolski', 'Gore Verbinski', 'Jerry Bruckheimer']",[],[],"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",5246,7.0,145.84737900000002,Gore Verbinski
57201,The Lone Ranger,[],"['Gore Verbinski', 'Gore Verbinski', 'Jerry Bruckheimer']",[],[],"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2311,5.9,49.046956,Gore Verbinski
49521,Man of Steel,[],"['Hans Zimmer', 'Charles Roven', 'Lloyd Phillips']",[],[],"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",6359,6.5,99.398009,Zack Snyder
2454,The Chronicles of Narnia: Prince Caspian,[],"['Liz Mullane', 'Gail Stevens', 'David Minkowski']",[],[],"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",1630,6.3,53.978602,Andrew Adamson
24428,The Avengers,[],"['Alan Silvestri', 'Christopher Boyes', 'Christopher Boyes']",[],[],"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",11776,7.4,144.448633,Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,[],"['Dariusz Wolski', 'Jerry Bruckheimer', 'Ted Elliott']",[],[],"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",4948,6.4,135.413856,Rob Marshall
41154,Men in Black 3,[],"['Steven Spielberg', 'Danny Elfman', 'Ellen Chenoweth']",[],[],"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",4160,6.2,52.035179,Barry Sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,[],"['Howard Shore', 'Christopher Boyes', 'Peter Jackson']",[],[],"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",4760,7.1,120.965743,Peter Jackson
1930,The Amazing Spider-Man,[],"['Francine Maisler', 'John Schwartzman', 'Pietro Scalia']",[],[],"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",6586,6.5,89.866276,Marc Webb
20662,Robin Hood,[],"['Brian Grazer', 'Jina Jay', 'Ridley Scott']",[],[],"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",1398,6.2,37.668301,Ridley Scott
57158,The Hobbit: The Desolation of Smaug,[],"['Howard Shore', 'Peter Jackson', 'Peter Jackson']",[],[],"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",4524,7.6,94.370564,Peter Jackson
2268,The Golden Compass,[],"['Anna Pinnock', 'Mark Ordesky', 'Michael Lynne']",[],[],"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",1303,5.8,42.990906,Chris Weitz
254,King Kong,[],"['James Newton Howard', 'Peter Jackson', 'Peter Jackson']",[],[],"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",2337,6.6,61.22601,Peter Jackson
597,Titanic,[],"['Mali Finn', 'James Horner', 'James Cameron']",[],[],"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",7562,7.5,100.025899,James Cameron
271110,Captain America: Civil War,[],"['Ronald R. Reiss', 'Tom Johnson', 'Sarah Finn']",[],[],"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",7241,7.1,198.372395,Anthony Russo
44833,Battleship,[],"['Paul Rubell', 'Jeff Dawn', 'Duncan Henderson']",[],[],"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",2114,5.5,64.928382,Peter Berg
135397,Jurassic World,[],"['Steven Spielberg', 'John Papsidera', 'Frank Marshall']",[],[],"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",8662,6.5,418.708552,Colin Trevorrow
37724,Skyfall,[],"['Thomas Newman', 'Sam Mendes', 'Anna Pinnock']",[],[],"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",7604,6.9,93.004993,Sam Mendes
558,Spider-Man 2,[],"['Danny Elfman', 'Dianne Crittenden', 'Bill Abbott']",[],[],"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",4321,6.7,35.149586,Sam Raimi
68721,Iron Man 3,[],"['Shane Black', 'Shane Black', 'John Toll']",[],[],"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",8806,6.8,77.68208,Shane Black
12155,Alice in Wonderland,[],"['Dariusz Wolski', 'Tim Burton', 'Danny Elfman']",[],[],"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",4645,6.4,78.530105,Tim Burton
36668,X-Men: The Last Stand,[],"['Mark Goldblatt', 'Mark Helfrich', 'Ralph Winter']",[],[],"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3525,6.3,3.857526,Brett Ratner
62211,Monsters University,[],"['Andrew Stanton', 'Lee Unkrich', 'John Lasseter']",[],[],A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,3528,7.0,89.186492,Dan Scanlon
8373,Transformers: Revenge of the Fallen,[],"['Denise Chamian', 'Steven Spielberg', 'Paul Rubell']",[],[],"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",3138,6.0,21.939663,Michael Bay
91314,Transformers: Age of Extinction,[],"['Denise Chamian', 'Steven Spielberg', 'William Goldenberg']",[],[],"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",3095,5.8,116.840296,Michael Bay
68728,Oz: The Great and Powerful,[],"['Danny Elfman', 'Nancy Haigh', 'John Papsidera']",[],[],"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",3530,5.7,46.985445,Sam Raimi
102382,The Amazing Spider-Man 2,[],"['Hans Zimmer', 'Pietro Scalia', 'Mark Friedberg']",[],[],"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",4179,6.5,89.270217,Marc Webb
20526,TRON: Legacy,[],"['Steven Lisberger', 'Steven Lisberger', 'Donald Kushner']",[],[],"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",2841,6.3,73.79505,Joseph Kosinski
49013,Cars 2,[],"['John Lasseter', 'John Lasseter', 'Harley Jessup']",[],[],Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,2033,5.8,49.98659,John Lasseter
44912,Green Lantern,[],"['Dion Beebe', 'James Newton Howard', 'Grant Major']",[],[],"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",2487,5.1,51.872839,Martin Campbell
10193,Toy Story 3,[],"['Andrew Stanton', 'Lee Unkrich', 'Lee Unkrich']",[],[],"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",4597,7.6,59.99541800000001,Lee Unkrich
534,Terminator Salvation,[],"['Danny Elfman', 'Bill Abbott', 'Mario Kassar']",[],[],"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",2463,5.9,71.862892,McG
168259,Furious 7,[],"['James Wan', 'Sanja Milkovic Hays', 'Peter Brown']",[],[],Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,4176,7.3,102.322217,James Wan
72190,World War Z,[],"['Brad Pitt', 'Marco Beltrami', 'Ian Bryce']",[],[],"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",5560,6.7,81.834855,Marc Forster
127585,X-Men: Days of Future Past,[],"['Matthew Vaughn', 'Roger Mussenden', 'Todd Hallowell']",[],[],The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,6032,7.5,118.078691,Bryan Singer
54138,Star Trek Into Darkness,[],"['Michael Kaplan', 'Ben Burtt', 'Gene Roddenberry']",[],[],"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",4418,7.4,78.29101800000001,J.J. Abrams
81005,Jack the Giant Slayer,[],"['Mark A. Mangini', 'Joanna Johnston', 'Roger Mussenden']",[],[],"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",2598,5.5,43.349855,Bryan Singer
64682,The Great Gatsby,[],"['Ronna Kress', 'Barrie M. Osborne', 'Baz Luhrmann']",[],[],"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",3769,7.3,61.196071,Baz Luhrmann
9543,Prince of Persia: The Sands of Time,[],"['Sarah Bradshaw', 'Jerry Bruckheimer', 'Mike Stenson']",[],[],"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",2317,6.2,62.169881,Mike Newell
68726,Pacific Rim,[],"['Guillermo del Toro', 'Travis Beacham', 'Guillermo del Toro']",[],[],"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",4794,6.7,56.523205,Guillermo del Toro
38356,Transformers: Dark of the Moon,[],"['Denise Chamian', 'Steven Spielberg', 'William Goldenberg']",[],[],"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",3299,6.1,28.529607,Michael Bay
217,Indiana Jones and the Kingdom of the Crystal Skull,[],"['George Lucas', 'George Lucas', 'George Lucas']",[],[],"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",2495,5.7,75.674458,Steven Spielberg
105864,The Good Dinosaur,[],"['Bob Peterson', 'John Lasseter', 'Mychael Danna']",[],[],An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,1736,6.6,51.692953,Peter Sohn
62177,Brave,[],"['Bill Abbott', 'Tom Johnson', 'Kyrsten Mate']",[],[],"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.",4641,6.7,125.114374,Brenda Chapman
188927,Star Trek Beyond,[],"['Gene Roddenberry', 'Thomas E. Sanders', 'Sanja Milkovic Hays']",[],[],"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",2568,6.6,65.352913,Justin Lin
10681,WALL·E,[],"['Andrew Stanton', 'Andrew Stanton', 'Andrew Stanton']",[],[],"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",6296,7.8,66.390712,Andrew Stanton
5174,Rush Hour 3,[],"['Billy Weber', 'Mark Helfrich', 'Jeff Nathanson']",[],[],"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",783,6.1,22.57178,Brett Ratner
14161,2012,[],"['Larry J. Franco', 'Dean Semler', 'Harald Kloser']",[],[],"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",4903,5.6,45.274225,Roland Emmerich
17979,A Christmas Carol,[],"['Robert Zemeckis', 'Robert Zemeckis', 'Charles Dickens']",[],[],"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.",1095,6.6,39.744242,Robert Zemeckis
76757,Jupiter Ascending,[],"['Bruce Berman', 'Alexander Berner', 'John Toll']",[],[],"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",2768,5.2,85.36908000000001,Lilly Wachowski
258489,The Legend of Tarzan,[],"['Stuart Beattie', 'Rupert Gregson-Williams', 'Stuart Craig']",[],[],"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",2430,5.5,42.741719,David Yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",[],"['Donald McAlpine', 'David Minkowski', 'Matthew Stillman']",[],[],"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",2629,6.7,67.391328,Andrew Adamson
246655,X-Men: Apocalypse,[],"['Grant Major', 'Roger Mussenden', 'Anne Kuljian']",[],[],"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",4721,6.4,139.272042,Bryan Singer
155,The Dark Knight,[],"['Lucinda Syson', 'Hans Zimmer', 'Charles Roven']",[],[],"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",12002,8.2,187.322927,Christopher Nolan
14160,Up,[],"['Andrew Stanton', 'Bob Peterson', 'Bob Peterson']",[],[],"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",6870,7.7,92.201962,Pete Docter
15512,Monsters vs Aliens,[],"['Conrad Vernon', 'Wallace Wolodarsky', 'Glenn Berger']",[],[],"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",1423,6.0,36.167578000000006,Conrad Vernon
1726,Iron Man,[],"['Sarah Finn', 'Matthew Libatique', 'Stan Lee']",[],[],"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",8776,7.4,120.725053,Jon Favreau
44826,Hugo,[],"['Johnny Depp', 'Robert Richardson', 'Howard Shore']",[],[],"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",2141,7.0,32.319043,Martin Scorsese
8487,Wild Wild West,[],"['Stefan Czapsky', 'Michael Ballhaus', 'Jon Peters']",[],[],Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,1020,5.1,40.748915,Barry Sonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,[],"['Ronna Kress', 'Stephen Sommers', 'Sean Daniel']",[],[],"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",1387,5.2,60.034162,Rob Cohen
